Pi_(MPa),Pf_(MPa)
0,0.000001
0.4392,0.4367
0.4729,0.4709
0.51,0.5078
0.5481,0.546
0.5817,0.5797
0.6169,0.6149
0.6509,0.649
0.6846,0.6824
0.7215,0.7195
0.7591,0.7571
0.7944,0.7926
0.8281,0.826
0.8616,0.8595
0.8942,0.8922
0.9259,0.9239
0.9601,0.9579
0.9919,0.99
1.0227,1.02094
1.05322,1.0511
1.08399,1.08185
1.1168,1.1145
1.1486,1.1461
1.1833,1.1809
1.2162,1.2137
1.25,1.1537
1.188,1.1809
1.2162,1.2109
1.2459,1.2408
1.2764,1.2735
1.3084,1.2995
1.3356,1.3293
1.363,1.3576
1.3922,1.3884
1.4214,1.4192
1.4534,1.4508
1.487069,1.4845
1.5187,1.5161
1.5512,1.5487
1.583,1.5806
1.6147,1.6113
1.6461,1.6439
1.6806,1.6779
1.7118,1.7069
1.7432,1.7357
1.7679,1.7654
1.7974,1.7905
1.8039,1.7918
