Tref,Tana,Pi_Vref,Peq_Vtotal,Pi_Vana
373.15,623.15,2.4775,2.4218,0.001
373.15,623.15,2.1908,2.142,0.0013
373.15,623.15,1.778,1.7395,0.0011
373.15,623.15,1.1923,1.1669,0.0012
373.15,623.15,0.5464,0.535,0.0012
373.15,573.15,0.6081,0.5951,0.0009
373.15,573.15,1.1248,1.1002,0.0009
373.15,573.15,1.838,1.7959,0.0009
373.15,573.15,2.2438,2.1918,0.0008
373.15,573.15,2.4663,2.4101,0.0011
373.15,523.15,2.4082,2.3499,0.0008
373.15,523.15,2.2429,2.1902,0.0009
373.15,523.15,1.7748,1.7328,0.0008
373.15,523.15,1.1111,1.0855,0.0008
373.15,523.15,0.5608,0.548,0.0008
373.15,473.15,2.3986,2.3354,0.0009
373.15,473.15,2.1693,2.1124,0.0008
373.15,473.15,1.6014,1.5615,0.0008
373.15,473.15,1.1261,1.0984,0.0008
373.15,473.15,0.5907,0.5766,0.0008
373.15,423.15,2.3412,2.2775,0.0008
373.15,423.15,2.1697,2.112,0.001
373.15,423.15,1.8625,1.8126,0.0008
373.15,423.15,1.147,1.1166,0.0009
373.15,423.15,0.5412,0.5272,0.0009

